Error Log - Thu Mar  6 10:22:05 CST 2025
[Thu Mar  6 10:31:26 CST 2025] Error processing JGEX problem: examples/complete2/014/complete_008_7_Book_LLL_L053-1.gex in alphageometry mode
[Thu Mar  6 10:31:48 CST 2025] Error processing JGEX problem: examples/complete2/014/complete_007_7_Book_LLL_L058-9.gex in alphageometry mode
[Thu Mar  6 11:05:19 CST 2025] Error processing JGEX problem: examples/complete2/011/complete_002_6_GDD_FULL_41-60_41.gex in alphageometry mode
[Thu Mar  6 11:19:34 CST 2025] Error processing JGEX problem: examples/complete2/004/complete_006_Other_Auxiliary_E092-5.gex in alphageometry mode
[Thu Mar  6 11:32:54 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_010_Other_Auxiliary_ye_aux_think2.gex in alphageometry mode
[Thu Mar  6 11:34:10 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_015_7_Book_00EE_08_E059-59.gex in alphageometry mode
[Thu Mar  6 11:34:33 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_013_7_Book_00EE_10_E072-16.gex in alphageometry mode
[Thu Mar  6 11:35:22 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_010_Other_Auxiliary_ye_aux_ll43.gex in alphageometry mode
[Thu Mar  6 11:35:45 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_010_Other_Auxiliary_aux2_22.gex in alphageometry mode
[Thu Mar  6 11:38:00 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_012_7_Book_00EE_11_E076-31.gex in alphageometry mode
[Thu Mar  6 11:38:23 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_010_Other_Auxiliary_ye_aux_y1.gex in alphageometry mode
[Thu Mar  6 11:39:10 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_014_7_Book_00EE_09_E069-8.gex in alphageometry mode
[Thu Mar  6 11:39:33 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_011_7_Book_00EE_04_E051-9.gex in alphageometry mode
[Thu Mar  6 11:41:16 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_002_6_GDD_FULL_41-60_42.gex in alphageometry mode
[Thu Mar  6 11:42:07 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_007_7_Book_LLL_yL198-1.gex in alphageometry mode
[Thu Mar  6 11:42:33 CST 2025] Error processing JGEX problem: examples/complete2/unsolved/complete_015_7_Book_00EE_08_E061-61.gex in alphageometry mode
[Thu Mar  6 11:43:53 CST 2025] Error processing JGEX problem: examples/complete2/unsolved/complete_008_ex-gao_ex160_005.gex in alphageometry mode
[Thu Mar  6 11:46:21 CST 2025] Error processing JGEX problem: examples/complete2/unsolved/complete_005_Other_unsolved_109f.gex in alphageometry mode
[Thu Mar  6 11:48:09 CST 2025] Error processing JGEX problem: examples/complete2/unsolved/complete_005_Other_unsolved_82.gex in alphageometry mode
[Thu Mar  6 11:48:37 CST 2025] Error processing JGEX problem: examples/complete2/unsolved/complete_014_7_Book_00EE_07_E057-41.gex in alphageometry mode
[Thu Mar  6 11:52:16 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_008_ex-gao_ex160_e102.gex in alphageometry mode
[Thu Mar  6 11:52:38 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_012_7_Book_00EE_11_E075-27f.gex in alphageometry mode
[Thu Mar  6 11:53:01 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_006_7_Book_LLL_L091-13.gex in alphageometry mode
[Thu Mar  6 11:53:24 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_010_Other_gao_Y_yL157-1.gex in alphageometry mode
[Thu Mar  6 11:53:46 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_008_7_Book_LLL_L055-5.gex in alphageometry mode
[Thu Mar  6 11:54:35 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_012_7_Book_00EE_05_E051-14-1.gex in alphageometry mode
[Thu Mar  6 11:56:09 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_011_7_Book_00EE_04_E051-2.gex in alphageometry mode
[Thu Mar  6 11:59:05 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_010_Other_gao_Y_yL182-1.gex in alphageometry mode
[Thu Mar  6 11:59:54 CST 2025] Error processing JGEX problem: new_unsolved/0.gex in alphageometry mode
[Thu Mar  6 12:00:17 CST 2025] Error processing JGEX problem: new_unsolved/1.gex in alphageometry mode
[Thu Mar  6 12:01:46 CST 2025] Error processing JGEX problem: examples/complete2/unsolved1/complete_009_Other_paper_Thebault_t5.gex in alphageometry mode
[Thu Mar  6 12:02:56 CST 2025] Error processing JGEX problem: examples/complete2/unsolved2/complete_010_Other_Auxiliary_ye_aux_think.gex in alphageometry mode
[Thu Mar  6 12:03:21 CST 2025] Error processing JGEX problem: examples/complete2/unsolved/morley.gex in alphageometry mode
[Thu Mar  6 12:10:04 CST 2025] Error processing IMO problem: translated_imo_2000_p6 in alphageometry mode
[Thu Mar  6 12:13:04 CST 2025] Error processing IMO problem: translated_imo_2004_p1 in alphageometry mode
[Thu Mar  6 12:15:39 CST 2025] Error processing IMO problem: translated_imo_2008_p1a in alphageometry mode
[Thu Mar  6 12:16:35 CST 2025] Error processing IMO problem: translated_imo_2008_p1b in alphageometry mode
[Thu Mar  6 12:21:03 CST 2025] Error processing IMO problem: translated_imo_2008_p6 in alphageometry mode
[Thu Mar  6 12:21:32 CST 2025] Error processing IMO problem: translated_imo_2009_p2 in alphageometry mode
[Thu Mar  6 12:22:09 CST 2025] Error processing IMO problem: translated_imo_2010_p2 in alphageometry mode
[Thu Mar  6 12:30:04 CST 2025] Error processing IMO problem: translated_imo_2011_p6 in alphageometry mode
[Thu Mar  6 12:31:20 CST 2025] Error processing IMO problem: translated_imo_2012_p5 in alphageometry mode
[Thu Mar  6 12:32:54 CST 2025] Error processing IMO problem: translated_imo_2014_p4 in alphageometry mode
